minp   eps   ncluster   DBI   pSF   SSR   NoiseFrames
4   0.95   252   2.072190   146.406783   0.794157   623
5   0.95   299   1.989116   138.024787   0.823890   1309
6   0.95   298   1.936058   129.802350   0.830376   2227
7   0.95   275   1.909396   128.005516   0.834259   3157
4   1.00   32   2.184812   550.882455   0.623094   38
5   1.00   48   2.181637   448.509755   0.672966   108
6   1.00   74   2.093169   313.420038   0.694825   277
7   1.00   95   2.065204   263.983445   0.717981   558
4   1.05   5   1.423109   2463.718623   0.486736   3
5   1.05   6   1.687510   2235.942178   0.518522   13
6   1.05   6   1.686425   2228.734599   0.518318   38
7   1.05   9   1.748269   1532.966493   0.542505   49
4   1.10   3   1.492801   3923.692036   0.430126   0
5   1.10   3   1.492771   3923.473070   0.430136   1
6   1.10   4   1.476705   3035.203837   0.466988   3
7   1.10   4   1.476773   3034.373294   0.466967   5
4   1.15   3   1.492801   3923.692036   0.430126   0
5   1.15   3   1.492801   3923.692036   0.430126   0
6   1.15   3   1.492801   3923.692036   0.430126   0
7   1.15   3   1.492801   3923.692036   0.430126   0
4   1.20   3   1.492801   3923.692036   0.430126   0
5   1.20   3   1.492801   3923.692036   0.430126   0
6   1.20   3   1.492801   3923.692036   0.430126   0
7   1.20   3   1.492801   3923.692036   0.430126   0
4   1.25   3   1.492801   3923.692036   0.430126   0
5   1.25   3   1.492801   3923.692036   0.430126   0
6   1.25   3   1.492801   3923.692036   0.430126   0
7   1.25   3   1.492801   3923.692036   0.430126   0
4   1.30   3   1.492801   3923.692036   0.430126   0
5   1.30   3   1.492801   3923.692036   0.430126   0
6   1.30   3   1.492801   3923.692036   0.430126   0
7   1.30   3   1.492801   3923.692036   0.430126   0
