#minp   eps   ncluster   DBI   pSF   SSR   NoiseFrames
4   0.95   178   1.774964   25.339354   0.719099   3570
5   0.95   112   1.809932   26.915831   0.709210   4163
6   0.95   66   1.748148   30.943637   0.708882   4608
7   0.95   38   1.683194   35.922802   0.713005   4927
4   1.00   145   1.943286   34.490237   0.562048   1485
5   1.00   124   1.939025   36.966457   0.575053   2016
6   1.00   111   1.966300   39.369346   0.605037   2562
7   1.00   90   2.066029   44.240590   0.624351   3041
4   1.05   50   1.859038   65.032920   0.386931   401
5   1.05   52   1.909807   67.210187   0.413142   579
6   1.05   50   2.004605   66.307815   0.412997   832
7   1.05   48   1.905105   65.602128   0.412355   1058
4   1.10   13   2.023373   132.319173   0.227391   92
5   1.10   19   1.935656   97.798320   0.248031   144
6   1.10   17   2.120270   129.508872   0.282919   231
7   1.10   22   1.949025   105.215104   0.299941   321
4   1.15   2   1.393174   23.699936   0.004302   13
5   1.15   2   1.379946   22.732882   0.004135   23
6   1.15   2   1.343099   17.844763   0.003262   46
7   1.15   6   1.805482   115.490689   0.096315   76
4   1.20   1   0.000000   0.00   0.00   2
5   1.20   1   0.000000   0.00   0.00   4
6   1.20   1   0.000000   0.00   0.00   8
7   1.20   1   0.000000   0.00   0.00   11
4   1.25   1   0.000000   0.00   0.00   0
5   1.25   1   0.000000   0.00   0.00   0
6   1.25   1   0.000000   0.00   0.00   1
7   1.25   1   0.000000   0.00   0.00   3
4   1.30   1   0.000000   0.00   0.00   0
5   1.30   1   0.000000   0.00   0.00   0
6   1.30   1   0.000000   0.00   0.00   0
7   1.30   1   0.000000   0.00   0.00   0
